DATE,DCOILBRENTEU_PCA
1987-05-22,307.71933
1987-05-25,101.34825
1987-05-26,52.04662
1987-05-27,-34.23070
1987-05-28,0.00000
1987-05-29,-24.40048
1987-06-01,165.83544
1987-06-02,51.87605
1987-06-03,164.45029
1987-06-04,51.53820
1987-06-05,-83.56974
1987-06-08,301.63665
1987-06-09,51.53820
1987-06-10,0.00000
1987-06-11,-75.04636
1987-06-12,300.74321
1987-06-15,.
1987-06-16,.
1987-06-17,494.31388
1987-06-18,31.40438
1987-06-19,0.00000
1987-06-22,97.68817
1987-06-23,-93.52271
1987-06-24,-87.40316
1987-06-25,-50.05558
1987-06-26,18587.81801
1987-06-29,159.12306
1987-06-30,-61.40830
1987-07-01,-74.49427
1987-07-02,3835.28958
1987-07-03,193.96204
1987-07-06,646.18345
1987-07-07,30.57839
1987-07-08,-23.41765
1987-07-09,1323.62893
1987-07-10,93.42727
1987-07-13,272.27470
1987-07-14,92.46560
1987-07-15,17658.58490
1987-07-16,363.63516
1987-07-17,1744.82741
1987-07-20,-63.58540
1987-07-21,-92.13547
1987-07-22,-22.55901
1987-07-23,-90.09636
1987-07-24,-99.94248
1987-07-27,-97.63625
1987-07-28,59320.23238
1987-07-29,1267.70087
1987-07-30,1623.97215
1987-07-31,-88.89060
1987-08-03,11770545.55819
1987-08-04,-97.64838
1987-08-05,-99.99821
1987-08-06,-48.18011
1987-08-07,-73.28112
1987-08-10,-94.64618
1987-08-11,30.66802
1987-08-12,94.94023
1987-08-13,-73.73056
1987-08-14,-86.70951
1987-08-17,-99.57444
1987-08-18,-74.91705
1987-08-19,-96.94987
1987-08-20,-94.07574
1987-08-21,-94.25690
1987-08-24,-99.98840
1987-08-25,182.67022
1987-08-26,304954.93666
1987-08-27,1210.32883
1987-08-28,-68.02938
1987-08-31,43229.27246
1987-09-01,-93.95711
1987-09-02,-34.52932
1987-09-03,-95.61697
1987-09-04,-51.13245
1987-09-07,-99.95535
1987-09-08,225.15778
1987-09-09,2391.15230
1987-09-10,31196.46423
1987-09-11,-81.92305
1987-09-14,-34.90987
1987-09-15,21761.77328
1987-09-16,0.00000
1987-09-17,-75.51060
1987-09-18,-84.12564
1987-09-21,-24.74655
1987-09-22,1593.17414
1987-09-23,0.00000
1987-09-24,1542.38626
1987-09-25,-67.23737
1987-09-28,100.97031
1987-09-29,-87.74955
1987-09-30,-24.51477
1987-10-01,32.47624
1987-10-02,716.29665
1987-10-05,508.63296
1987-10-06,-91.82453
1987-10-07,-24.40048
1987-10-08,101.12116
1987-10-09,-34.23070
1987-10-12,-50.33481
1987-10-13,0.00000
1987-10-14,514.56676
1987-10-15,0.00000
1987-10-16,8178.46001
1987-10-19,291.50673
1987-10-20,-98.76355
1987-10-21,691.23733
1987-10-22,1437.20779
1987-10-23,-87.08418
1987-10-26,-95.79935
1987-10-27,99.85272
1987-10-28,99.48552
1987-10-29,-74.91705
1987-10-30,99.85272
1987-11-02,-90.57456
1987-11-03,-97.01812
1987-11-04,-99.84113
1987-11-05,-68.73474
1987-11-06,327.38615
1987-11-09,-99.86413
1987-11-10,3896.50410
1987-11-11,107.79145
1987-11-12,107.36560
1987-11-13,-51.77599
1987-11-16,-82.77389
1987-11-17,-98.42451
1987-11-18,-96.34223
1987-11-19,8910.52070
1987-11-20,492.27346
1987-11-23,8000.17540
1987-11-24,-63.89551
1987-11-25,-88.88170
1987-11-26,108.39317
1987-11-27,107.96271
1987-11-30,-69.04060
1987-12-01,-52.07355
1987-12-02,108.65304
1987-12-03,2769.63085
1987-12-04,175.40768
1987-12-07,-95.91299
1987-12-08,-94.71981
1987-12-09,-89.22507
1987-12-10,495.29298
1987-12-11,1319.77606
1987-12-14,-99.99992
1987-12-15,-99.99217
1987-12-16,-98.73469
1987-12-17,-99.99997
1987-12-18,1596001.91831
1987-12-21,-96.50866
1987-12-22,141545178547.98383
1987-12-23,455814.44040
1987-12-24,-89.67660
1987-12-25,.
1987-12-28,.
1987-12-29,31248.81948
1987-12-30,102937.79761
1987-12-31,-97.44520
1988-01-01,.
1988-01-04,.
1988-01-05,-99.99975
1988-01-06,19721529.83234
1988-01-07,.
1988-01-08,.
1988-01-11,-97.17599
1988-01-12,-99.99859
1988-01-13,100786.86066
1988-01-14,1365.09632
1988-01-15,378.87518
1988-01-18,1537.45101
1988-01-19,6167.84933
1988-01-20,-98.40456
1988-01-21,4523.54510
1988-01-22,-99.71197
1988-01-25,-98.01915
1988-01-26,.
1988-01-27,.
1988-01-28,-38.36999
1988-01-29,1700.59639
1988-02-01,-94.44628
1988-02-02,262.81624
1988-02-03,-38.27765
1988-02-04,62.01587
1988-02-05,-72.43784
1988-02-08,58933.39054
1988-02-09,-79.41386
1988-02-10,-98.66483
1988-02-11,-38.36999
1988-02-12,-99.67023
1988-02-15,-68.59274
1988-02-16,-56.41279
1988-02-17,3686.82311
1988-02-18,-99.78480
1988-02-19,223.18681
1988-02-22,-94.26221
1988-02-23,2776.67399
1988-02-24,-97.90762
1988-02-25,-99.98177
1988-02-26,-97.05623
1988-02-29,312.03277
1988-03-01,-99.99495
1988-03-02,-99.91435
1988-03-03,4114.31323
1988-03-04,0.00000
1988-03-07,-84.49189
1988-03-08,-84.69919
1988-03-09,2806.04344
1988-03-10,928784.07518
1988-03-11,119281.22491
1988-03-14,-99.99775
1988-03-15,43.89172
1988-03-16,1407.54576
1988-03-17,-30.24010
1988-03-18,701846.35659
1988-03-21,225374.38577
1988-03-22,-99.74841
1988-03-23,55625.30637
1988-03-24,6481.75136
1988-03-25,-96.47079
1988-03-28,435.17584
1988-03-29,130.40574
1988-03-30,426.64026
1988-03-31,-56.36658
1988-04-01,.
1988-04-04,.
1988-04-05,.
1988-04-06,-86.74421
1988-04-07,1147.18612
1988-04-08,39.74098
1988-04-11,4207180.88056
1988-04-12,8509.34542
1988-04-13,201.02710
1988-04-14,378.87518
1988-04-15,2129.83904
1988-04-18,892869.82349
1988-04-19,-99.75927
1988-04-20,-98.42395
1988-04-21,2856.72457
1988-04-22,881.64121
1988-04-25,-26.16844
1988-04-26,113.35710
1988-04-27,2633.90289
1988-04-28,-99.96250
1988-04-29,-98.70798
1988-05-02,-99.99691
1988-05-03,725.26386
1988-05-04,209.37512
1988-05-05,0.00000
1988-05-06,11875.05897
1988-05-09,120.13591
1988-05-10,-85.01048
1988-05-11,386.69915
1988-05-12,-71.78198
1988-05-13,385.76364
1988-05-16,381.14657
1988-05-17,0.00000
1988-05-18,-95.72144
1988-05-19,-90.82778
1988-05-20,2305.80051
1988-05-23,-96.98227
1988-05-24,206.16955
1988-05-25,-85.35675
1988-05-26,0.00000
1988-05-27,207.22779
1988-05-30,-27.39941
1988-05-31,-38.18575
1988-06-01,698.92176
1988-06-02,0.00000
1988-06-03,571.00625
1988-06-06,-95.84338
1988-06-07,-27.39941
1988-06-08,122.49947
1988-06-09,37.60462
1988-06-10,-99.93100
1988-06-13,-99.50230
1988-06-14,19992.35369
1988-06-15,-91.56082
1988-06-16,-98.90041
1988-06-17,131.90380
1988-06-20,-99.97225
1988-06-21,0.00000
1988-06-22,842.74434
1988-06-23,135.79757
1988-06-24,-40.21064
1988-06-27,-97.77020
1988-06-28,-82.57594
1988-06-29,-99.29583
1988-06-30,-99.87656
1988-07-01,-98.57612
1988-07-04,540.54600
1988-07-05,-72.70895
1988-07-06,1329790.90087
1988-07-07,3392820865.93416
1988-07-08,-99.95288
1988-07-11,-99.93632
1988-07-12,-99.99893
1988-07-13,536.32651
1988-07-14,0.00000
1988-07-15,1466.37390
1988-07-18,61924416.57890
1988-07-19,-70.36379
1988-07-20,1215802.19279
1988-07-21,1127.11605
1988-07-22,2627.11580
1988-07-25,-38.93326
1988-07-26,-99.90926
1988-07-27,225.65560
1988-07-28,6393.87386
1988-07-29,128.57856
1988-08-01,-91.69288
1988-08-02,-98.50106
1988-08-03,-99.75137
1988-08-04,-99.98514
1988-08-05,49239.79818
1988-08-08,4915433.95416
1988-08-09,-74.00207
1988-08-10,-99.39935
1988-08-11,67.53864
1988-08-12,-92.50192
1988-08-15,-95.68506
1988-08-16,140.34326
1988-08-17,-82.73974
1988-08-18,69.60067
1988-08-19,241.60569
1988-08-22,2193.27957
1988-08-23,-98.18569
1988-08-24,140.34326
1988-08-25,-97.93630
1988-08-26,-90.17900
1988-08-29,-30.15336
1988-08-30,-41.68045
1988-08-31,-59.39236
1988-09-01,-98.94700
1988-09-02,-93.73942
1988-09-05,-99.75504
1988-09-06,-99.82512
1988-09-07,-96.42828
1988-09-08,955.40703
1988-09-09,-62.44207
1988-09-12,-99.99837
1988-09-13,114361474.58484
1988-09-14,1369521.26781
1988-09-15,-99.94954
1988-09-16,-99.47667
1988-09-19,-99.94880
1988-09-20,40253.62382
1988-09-21,-86.25840
1988-09-22,1852.04164
1988-09-23,0.00000
1988-09-26,-86.15431
1988-09-27,-99.99733
1988-09-28,3178.54653
1988-09-29,-99.41930
1988-09-30,-99.99946
1988-10-03,-99.93199
1988-10-04,205.95911
1988-10-05,-99.99644
1988-10-06,908.57782
1988-10-07,215.15826
1988-10-10,14276836133.78947
1988-10-11,2298.02110
1988-10-12,713.99624
1988-10-13,700.45577
1988-10-14,50332967.75802
1988-10-17,90056.00131
1988-10-18,-99.99972
1988-10-19,744296.64029
1988-10-20,1726.63059
1988-10-21,-31.98696
1988-10-24,-100.00000
1988-10-25,-92.34673
1988-10-26,0.00000
1988-10-27,20458.76398
1988-10-28,27821.69737
1988-10-31,0.00000
1988-11-01,-99.98514
1988-11-02,3573.78738
1988-11-03,2207.78001
1988-11-04,17120.45642
1988-11-07,0.00000
1988-11-08,-95.39008
1988-11-09,680.95448
1988-11-10,78709.87465
1988-11-11,0.00000
1988-11-14,-45.08089
1988-11-15,0.00000
1988-11-16,-99.76896
1988-11-17,-99.99988
1988-11-18,90.88452
1988-11-21,192.68827
1988-11-22,6627059301420.14051
1988-11-23,-32.28112
1988-11-24,-99.90101
1988-11-25,11248302668441845.06737
1988-11-28,69.90539
1988-11-29,-99.98184
1988-11-30,516.06927
1988-12-01,2978798.66840
1988-12-02,-89.70809
1988-12-05,-70.84801
1988-12-06,-99.72360
1988-12-07,21194.09022
1988-12-08,45292.37928
1988-12-09,-92.60497
1988-12-12,17719.81038
1988-12-13,-28.98865
1988-12-14,1709.33151
1988-12-15,4679.24304
1988-12-16,39.59109
1988-12-19,-99.35823
1988-12-20,-28.82949
1988-12-21,133.82350
1988-12-22,-74.34340
1988-12-23,808.84090
1988-12-26,.
1988-12-27,.
1988-12-28,-91.02875
1988-12-29,-96.12274
1988-12-30,20771.94067
1989-01-02,.
1989-01-03,.
1989-01-04,679.00714
1989-01-05,119.29811
1989-01-06,6568.04525
1989-01-09,901.71506
1989-01-10,-97.87611
1989-01-11,915.52880
1989-01-12,-53.71586
1989-01-13,423376.38743
1989-01-16,343.69865
1989-01-17,6099.60567
1989-01-18,1087.13752
1989-01-19,770.30546
1989-01-20,104.87746
1989-01-23,-100.00000
1989-01-24,191.43475
1989-01-25,1677581.78245
1989-01-26,55.31808
1989-01-27,-99.97235
1989-01-30,-99.35441
1989-01-31,-99.93608
1989-02-01,37.33688
1989-02-02,530444.92888
1989-02-03,-95.43198
1989-02-06,-97.99565
1989-02-07,381.14657
1989-02-08,936.92672
1989-02-09,-92.95103
1989-02-10,-94.14639
1989-02-13,385.76364
1989-02-14,17120.45642
1989-02-15,-71.02784
1989-02-16,46119.08905
1989-02-17,0.00000
1989-02-20,3093.51096
1989-02-21,-93.32494
1989-02-22,-97.77809
1989-02-23,888.24822
1989-02-24,-53.29633
1989-02-27,183431.97710
1989-02-28,-99.16416
1989-03-01,35.20530
1989-03-02,1902.84016
1989-03-03,6172.76647
1989-03-06,0.00000
1989-03-07,-92.95664
1989-03-08,0.00000
1989-03-09,3855.02462
1989-03-10,-91.75101
1989-03-13,93403.58625
1989-03-14,181415.11997
1989-03-15,49448.90059
1989-03-16,-83.09483
1989-03-17,11554.79457
1989-03-20,-80.24230
1989-03-21,41456.71013
1989-03-22,-32.81062
1989-03-23,7579.25536
1989-03-24,.
1989-03-27,.
1989-03-28,.
1989-03-29,-97.56749
1989-03-30,140732.01741
1989-03-31,32443.35597
1989-04-03,-99.99688
1989-04-04,2576.30522
1989-04-05,-86.01553
1989-04-06,-99.98733
1989-04-07,7452.20006
1989-04-10,1339.22525
1989-04-11,9867.25234
1989-04-12,-72.92435
1989-04-13,269.33556
1989-04-14,-98.50678
1989-04-17,2585.22647
1989-04-18,6254.73201
1989-04-19,1103172640.73235
1989-04-20,744296.64029
