DATE,DCOILBRENTEU_CCA
1987-05-22,140.54088
1987-05-25,69.98658
1987-05-26,41.90170
1987-05-27,-41.90170
1987-05-28,0.00000
1987-05-29,-27.97203
1987-06-01,97.77073
1987-06-02,41.78945
1987-06-03,97.24831
1987-06-04,41.56676
1987-06-05,-180.60452
1987-06-08,139.03776
1987-06-09,41.56676
1987-06-10,0.00000
1987-06-11,-138.81507
1987-06-12,138.81507
1987-06-15,.
1987-06-16,.
1987-06-17,178.22374
1987-06-18,27.31093
1987-06-19,0.00000
1987-06-22,68.15207
1987-06-23,-273.68674
1987-06-24,-207.17241
1987-06-25,-69.42594
1987-06-26,523.04570
1987-06-29,95.21329
1987-06-30,-95.21329
1987-07-01,-136.62669
1987-07-02,367.25696
1987-07-03,107.82804
1987-07-06,200.98013
1987-07-07,26.68035
1987-07-08,-26.68035
1987-07-09,265.57943
1987-07-10,65.97314
1987-07-13,131.44618
1987-07-14,65.47473
1987-07-15,517.94541
1987-07-16,153.39278
1987-07-17,291.49708
1987-07-20,-101.02004
1987-07-21,-254.28076
1987-07-22,-25.56539
1987-07-23,-231.22682
1987-07-24,-746.08693
1987-07-27,-374.49207
1987-07-28,638.72199
1987-07-29,261.57162
1987-07-30,284.72161
1987-07-31,-219.73782
1987-08-03,1167.59491
1987-08-04,-375.00650
1987-08-05,-1092.86792
1987-08-06,-65.73961
1987-08-07,-131.97998
1987-08-10,-292.73595
1987-08-11,26.74897
1987-08-12,66.75228
1987-08-13,-133.67639
1987-08-14,-201.81214
1987-08-17,-545.95182
1987-08-18,-138.29820
1987-08-19,-348.99853
1987-08-20,-282.61148
1987-08-21,-285.71716
1987-08-24,-906.21877
1987-08-25,103.91107
1987-08-26,802.30770
1987-08-27,257.28632
1987-08-28,-114.03527
1987-08-31,607.14135
1987-09-01,-280.62874
1987-09-02,-42.35678
1987-09-03,-312.74297
1987-09-04,-71.60566
1987-09-07,-771.39719
1987-09-08,117.91403
1987-09-09,321.53305
1987-09-10,574.60902
1987-09-11,-171.05325
1987-09-14,-42.93973
1987-09-15,538.73247
1987-09-16,0.00000
1987-09-17,-140.69298
1987-09-18,-184.04651
1987-09-21,-28.43084
1987-09-22,282.91900
1987-09-23,0.00000
1987-09-24,279.87353
1987-09-25,-111.58815
1987-09-28,69.79870
1987-09-29,-209.96076
1987-09-30,-28.12331
1987-10-01,28.12331
1987-10-02,209.96076
1987-10-05,180.60452
1987-10-06,-250.40322
1987-10-07,-27.97203
1987-10-08,69.87373
1987-10-09,-41.90170
1987-10-12,-69.98658
1987-10-13,0.00000
1987-10-14,181.57474
1987-10-15,0.00000
1987-10-16,441.62421
1987-10-19,136.48325
1987-10-20,-439.29239
1987-10-21,206.84278
1987-10-22,273.25527
1987-10-23,-204.67175
1987-10-26,-316.99306
1987-10-27,69.24105
1987-10-28,69.05715
1987-10-29,-138.29820
1987-10-30,69.24105
1987-11-02,-236.17582
1987-11-03,-351.26176
1987-11-04,-644.48356
1987-11-05,-116.26626
1987-11-06,145.25177
1987-11-09,-660.12008
1987-11-10,368.80051
1987-11-11,73.13648
1987-11-12,72.93132
1987-11-13,-72.93132
1987-11-16,-175.87440
1987-11-17,-415.06013
1987-11-18,-330.83153
1987-11-19,450.09780
1987-11-20,177.87983
1987-11-23,439.44708
1987-11-24,-101.87531
1987-11-25,-219.65774
1987-11-26,73.42563
1987-11-27,73.21886
1987-11-30,-117.24935
1987-12-01,-73.55026
1987-12-02,73.55026
1987-12-03,335.67685
1987-12-04,101.30823
1987-12-07,-319.73572
1987-12-08,-294.12078
1987-12-09,-222.79485
1987-12-10,178.38835
1987-12-11,265.30842
1987-12-14,-1400.86008
1987-12-15,-945.55875
1987-12-16,-436.98508
1987-12-17,-1512.05392
1987-12-18,967.79047
1987-12-21,-335.48853
1987-12-22,2107.07146
1987-12-23,842.48903
1987-12-24,-227.07568
1987-12-25,.
1987-12-28,.
1987-12-29,574.77617
1987-12-30,693.76810
1987-12-31,-366.71976
1988-01-01,.
1988-01-04,.
1988-01-05,-1291.73009
1988-01-06,1219.20564
1988-01-07,.
1988-01-08,.
1988-01-11,-356.70109
1988-01-12,-1116.73607
1988-01-13,691.65848
1988-01-14,268.45061
1988-01-15,156.62698
1988-01-18,279.57259
1988-01-19,413.80184
1988-01-20,-413.80184
1988-01-21,383.37468
1988-01-22,-584.98619
1988-01-25,-392.16430
1988-01-26,.
1988-01-27,.
1988-01-28,-48.40212
1988-01-29,289.07030
1988-02-01,-289.07030
1988-02-02,128.87263
1988-02-03,-48.25241
1988-02-04,48.25241
1988-02-05,-128.87263
1988-02-08,638.06883
1988-02-09,-158.05520
1988-02-10,-431.61151
1988-02-11,-48.40212
1988-02-12,-571.45157
1988-02-15,-115.81311
1988-02-16,-83.04063
1988-02-17,363.41125
1988-02-18,-614.13644
1988-02-19,117.30603
1988-02-22,-285.80954
1988-02-23,335.92199
1988-02-24,-386.68673
1988-02-25,-861.00583
1988-02-26,-352.54777
1988-02-29,141.59327
1988-03-01,-989.39644
1988-03-02,-706.26215
1988-03-03,374.10717
1988-03-04,0.00000
1988-03-07,-186.38073
1988-03-08,-187.72645
1988-03-09,336.93776
1988-03-10,913.65690
1988-03-11,708.49070
1988-03-14,-1070.10988
1988-03-15,36.38909
1988-03-16,271.30681
1988-03-17,-36.01109
1988-03-18,885.64421
1988-03-21,772.07917
1988-03-22,-598.51377
1988-03-23,632.30195
1988-03-24,418.68860
1988-03-25,-334.40975
1988-03-28,167.74252
1988-03-29,83.46717
1988-03-30,166.13475
1988-03-31,-82.93468
1988-04-01,.
1988-04-04,.
1988-04-05,.
1988-04-06,-202.07356
1988-04-07,252.34750
1988-04-08,33.46204
1988-04-11,1064.71569
1988-04-12,445.54334
1988-04-13,110.20301
1988-04-14,156.62698
1988-04-15,310.45145
1988-04-18,909.71379
1988-04-19,-602.92557
1988-04-20,-415.02507
1988-04-21,338.66672
1988-04-22,228.40557
1988-04-25,-30.33839
1988-04-26,75.77971
1988-04-27,330.83153
1988-04-28,-788.85864
1988-04-29,-434.89664
1988-05-02,-1038.54052
1988-05-03,211.05330
1988-05-04,112.93843
1988-05-05,0.00000
1988-05-06,478.54112
1988-05-09,78.90750
1988-05-10,-189.78186
1988-05-11,158.24760
1988-05-12,-126.52093
1988-05-13,158.05520
1988-05-16,157.10018
1988-05-17,0.00000
1988-05-18,-315.15537
1988-05-19,-238.89908
1988-05-20,318.04678
1988-05-23,-350.06649
1988-05-24,111.89688
1988-05-25,-192.11910
1988-05-26,0.00000
1988-05-27,112.24193
1988-05-30,-32.01971
1988-05-31,-48.10362
1988-06-01,207.80928
1988-06-02,0.00000
1988-06-03,190.36083
1988-06-06,-318.04678
1988-06-07,-32.01971
1988-06-08,79.97546
1988-06-09,31.92143
1988-06-10,-727.88579
1988-06-13,-530.29244
1988-06-14,530.29244
1988-06-15,-247.22849
1988-06-16,-451.02320
1988-06-17,84.11525
1988-06-20,-818.96534
1988-06-21,0.00000
1988-06-22,224.36249
1988-06-23,85.78035
1988-06-24,-51.43424
1988-06-27,-380.32593
1988-06-28,-174.73184
1988-06-29,-495.59023
1988-06-30,-669.72029
1988-07-01,-425.17833
1988-07-04,185.71508
1988-07-05,-129.86113
1988-07-06,949.54373
1988-07-07,1733.97574
1988-07-08,-766.01285
1988-07-11,-735.89818
1988-07-12,-1144.43902
1988-07-13,185.05416
1988-07-14,0.00000
1988-07-15,275.13484
1988-07-18,1333.62565
1988-07-19,-121.61733
1988-07-20,940.58267
1988-07-21,250.72518
1988-07-22,330.58297
1988-07-25,-49.32028
1988-07-26,-700.49137
1988-07-27,118.06702
1988-07-28,417.34443
1988-07-29,82.67098
1988-08-01,-248.80573
1988-08-02,-420.04145
1988-08-03,-599.69710
1988-08-04,-881.44034
1988-08-05,620.13161
1988-08-08,1080.27408
1988-08-09,-134.71533
1988-08-10,-511.49191
1988-08-11,51.60438
1988-08-12,-259.05229
1988-08-15,-314.30873
1988-08-16,87.68980
1988-08-17,-175.67634
1988-08-18,52.82765
1988-08-19,122.84869
1988-08-22,313.25680
1988-08-23,-400.94660
1988-08-24,87.68980
1988-08-25,-388.06691
1988-08-26,-232.06471
1988-08-29,-35.88682
1988-08-30,-53.92328
1988-08-31,-90.12141
1988-09-01,-455.35314
1988-09-02,-277.08966
1988-09-05,-601.18285
1988-09-06,-634.88171
1988-09-07,-333.21225
1988-09-08,235.65116
1988-09-09,-97.92855
1988-09-12,-1102.28453
1988-09-13,1394.97055
1988-09-14,952.48746
1988-09-15,-759.17802
1988-09-16,-525.27039
1988-09-19,-757.72234
1988-09-20,600.02663
1988-09-21,-198.47425
1988-09-22,297.14609
1988-09-23,0.00000
1988-09-26,-197.71958
1988-09-27,-1053.10345
1988-09-28,348.99853
1988-09-29,-514.86831
1988-09-30,-1213.48261
1988-10-03,-729.32959
1988-10-04,111.82813
1988-10-05,-1024.20244
1988-10-06,231.11263
1988-10-07,114.79047
1988-10-10,1877.67340
