DATE,DCOILBRENTEU_CCH
1987-05-22,0.54054
1987-05-25,0.26918
1987-05-26,0.16116
1987-05-27,-0.16116
1987-05-28,0.00000
1987-05-29,-0.10758
1987-06-01,0.37604
1987-06-02,0.16073
1987-06-03,0.37403
1987-06-04,0.15987
1987-06-05,-0.69463
1987-06-08,0.53476
1987-06-09,0.15987
1987-06-10,0.00000
1987-06-11,-0.53390
1987-06-12,0.53390
1987-06-15,.
1987-06-16,.
1987-06-17,0.68548
1987-06-18,0.10504
1987-06-19,0.00000
1987-06-22,0.26212
1987-06-23,-1.05264
1987-06-24,-0.79682
1987-06-25,-0.26702
1987-06-26,2.01171
1987-06-29,0.36620
1987-06-30,-0.36620
1987-07-01,-0.52549
1987-07-02,1.41253
1987-07-03,0.41472
1987-07-06,0.77300
1987-07-07,0.10262
1987-07-08,-0.10262
1987-07-09,1.02146
1987-07-10,0.25374
1987-07-13,0.50556
1987-07-14,0.25183
1987-07-15,1.99210
1987-07-16,0.58997
1987-07-17,1.12114
1987-07-20,-0.38854
1987-07-21,-0.97800
1987-07-22,-0.09833
1987-07-23,-0.88933
1987-07-24,-2.86957
1987-07-27,-1.44035
1987-07-28,2.45662
1987-07-29,1.00604
1987-07-30,1.09508
1987-07-31,-0.84515
1987-08-03,4.49075
1987-08-04,-1.44233
1987-08-05,-4.20334
1987-08-06,-0.25284
1987-08-07,-0.50762
1987-08-10,-1.12591
1987-08-11,0.10288
1987-08-12,0.25674
1987-08-13,-0.51414
1987-08-14,-0.77620
1987-08-17,-2.09981
1987-08-18,-0.53192
1987-08-19,-1.34230
1987-08-20,-1.08697
1987-08-21,-1.09891
1987-08-24,-3.48546
1987-08-25,0.39966
1987-08-26,3.08580
1987-08-27,0.98956
1987-08-28,-0.43860
1987-08-31,2.33516
1987-09-01,-1.07934
1987-09-02,-0.16291
1987-09-03,-1.20286
1987-09-04,-0.27541
1987-09-07,-2.96691
1987-09-08,0.45352
1987-09-09,1.23667
1987-09-10,2.21003
1987-09-11,-0.65790
1987-09-14,-0.16515
1987-09-15,2.07205
1987-09-16,0.00000
1987-09-17,-0.54113
1987-09-18,-0.70787
1987-09-21,-0.10935
1987-09-22,1.08815
1987-09-23,0.00000
1987-09-24,1.07644
1987-09-25,-0.42919
1987-09-28,0.26846
1987-09-29,-0.80754
1987-09-30,-0.10817
1987-10-01,0.10817
1987-10-02,0.80754
1987-10-05,0.69463
1987-10-06,-0.96309
1987-10-07,-0.10758
1987-10-08,0.26875
1987-10-09,-0.16116
1987-10-12,-0.26918
1987-10-13,0.00000
1987-10-14,0.69836
1987-10-15,0.00000
1987-10-16,1.69855
1987-10-19,0.52494
1987-10-20,-1.68959
1987-10-21,0.79555
1987-10-22,1.05098
1987-10-23,-0.78720
1987-10-26,-1.21920
1987-10-27,0.26631
1987-10-28,0.26560
1987-10-29,-0.53192
1987-10-30,0.26631
1987-11-02,-0.90837
1987-11-03,-1.35101
1987-11-04,-2.47878
1987-11-05,-0.44718
1987-11-06,0.55866
1987-11-09,-2.53892
1987-11-10,1.41846
1987-11-11,0.28129
1987-11-12,0.28051
1987-11-13,-0.28051
1987-11-16,-0.67644
1987-11-17,-1.59639
1987-11-18,-1.27243
1987-11-19,1.73115
1987-11-20,0.68415
1987-11-23,1.69018
1987-11-24,-0.39183
1987-11-25,-0.84484
1987-11-26,0.28241
1987-11-27,0.28161
1987-11-30,-0.45096
1987-12-01,-0.28289
