DATE,DCOILBRENTEU_PC1
1988-05-18,-11.96994
1988-05-19,-11.92412
1988-05-20,-11.32075
1988-05-23,-12.74194
1988-05-24,-12.50671
1988-05-25,-13.01075
1988-05-26,-13.01075
1988-05-27,-12.54037
1988-05-30,-12.97587
1988-05-31,-13.27623
1988-06-01,-12.90667
1988-06-02,-13.04579
1988-06-03,-11.79625
1988-06-06,-13.33333
1988-06-07,-13.57827
1988-06-08,-13.31203
1988-06-09,-12.74090
1988-06-10,-15.60170
1988-06-13,.
1988-06-14,-16.13757
1988-06-15,-17.49869
1988-06-16,-19.00262
1988-06-17,-18.74016
1988-06-20,-21.46597
1988-06-21,-20.63492
1988-06-22,-19.30667
1988-06-23,-18.82353
1988-06-24,-20.59748
1988-06-27,-22.03655
1988-06-28,-22.27463
1988-06-29,-23.34036
1988-06-30,-26.33766
1988-07-01,-27.83238
1988-07-04,-27.87474
1988-07-05,-28.30769
1988-07-06,-25.56468
1988-07-07,-21.23984
1988-07-08,-23.72022
1988-07-11,-26.22289
1988-07-12,-29.57746
1988-07-13,-30.47337
1988-07-14,-30.88235
1988-07-15,-30.92584
1988-07-18,-27.00730
1988-07-19,-26.63391
1988-07-20,-23.85637
1988-07-21,-22.43176
1988-07-22,-19.15220
1988-07-25,-18.13472
1988-07-26,-22.24469
1988-07-27,-22.67267
1988-07-28,-22.27723
1988-07-29,-21.36795
1988-08-01,-25.53699
1988-08-02,-25.66586
1988-08-03,-24.24242
1988-08-04,-26.58228
1988-08-05,-24.42748
1988-08-08,-20.32939
1988-08-09,-20.82262
1988-08-10,-22.56410
1988-08-11,-22.01031
1988-08-12,-22.18182
1988-08-15,-21.48541
1988-08-16,-20.80000
1988-08-17,-20.27027
1988-08-18,-19.23497
1988-08-19,-17.95580
1988-08-22,-14.01602
1988-08-23,-15.66952
1988-08-24,-17.95580
1988-08-25,-19.96718
1988-08-26,-20.32967
1988-08-29,-22.27590
1988-08-30,-21.59523
1988-08-31,-21.73913
1988-09-01,-22.16722
1988-09-02,-22.77992
1988-09-05,-22.27273
1988-09-06,-24.49095
1988-09-07,-26.36872
1988-09-08,-27.32240
1988-09-09,-27.11771
1988-09-12,-30.02755
1988-09-13,-27.68484
1988-09-14,-24.98651
1988-09-15,-26.74986
1988-09-16,-27.70492
1988-09-19,-29.70460
1988-09-20,-28.84199
1988-09-21,-29.38312
1988-09-22,-29.33619
1988-09-23,-29.03226
1988-09-26,-29.75871
1988-09-27,-32.00000
1988-09-28,-31.00649
1988-09-29,-32.43243
1988-09-30,-36.03217
1988-10-03,-38.23216
1988-10-04,-37.36559
1988-10-05,-39.72013
1988-10-06,-39.34514
1988-10-07,-38.97849
1988-10-10,-34.23181
1988-10-11,-33.42318
1988-10-12,-33.35118
1988-10-13,-32.81585
1988-10-14,-30.52632
1988-10-17,-29.05759
1988-10-18,-31.30990
1988-10-19,-29.47702
1988-10-20,-29.43021
1988-10-21,-28.97787
1988-10-24,-34.93333
1988-10-25,-35.74468
1988-10-26,-35.91512
1988-10-27,-34.24000
1988-10-28,-32.97872
1988-10-31,-32.36715
1988-11-01,-33.73232
1988-11-02,-31.12103
1988-11-03,-29.97199
1988-11-04,-28.96936
1988-11-07,-27.14286
1988-11-08,-29.01408
1988-11-09,-28.65169
1988-11-10,-27.00280
1988-11-11,-26.79775
1988-11-14,-26.47059
1988-11-15,-25.28736
1988-11-16,-26.07683
1988-11-17,-31.06407
1988-11-18,-31.36364
1988-11-21,-32.23464
1988-11-22,-25.12619
1988-11-23,-24.60407
1988-11-24,-26.79075
1988-11-25,-17.32283
1988-11-28,-16.77966
1988-11-29,-19.26346
1988-11-30,-18.92655
1988-12-01,-16.73173
1988-12-02,-17.77778
1988-12-05,-17.15411
1988-12-06,-18.08874
1988-12-07,-15.66265
1988-12-08,-14.24501
1988-12-09,-15.96165
1988-12-12,-9.52381
1988-12-13,-6.29630
1988-12-14,-3.64093
1988-12-15,3.65935
1988-12-16,0.00000
1988-12-19,-0.64935
1988-12-20,-8.50299
1988-12-21,-11.13043
1988-12-22,-10.81871
1988-12-23,.
1988-12-26,.
1988-12-27,-6.50173
1988-12-28,-9.80392
1988-12-29,-9.65909
1988-12-30,.
1989-01-02,.
1989-01-03,-3.98126
1989-01-04,-7.65363
1989-01-05,.
1989-01-06,-0.17773
1989-01-09,2.10210
1989-01-10,5.01567
1989-01-11,3.17460
1989-01-12,1.81269
1989-01-13,4.50450
1989-01-16,3.98099
1989-01-17,3.97661
1989-01-18,6.65478
1989-01-19,5.97190
1989-01-20,8.68263
1989-01-23,3.22188
1989-01-24,.
1989-01-25,9.73342
1989-01-26,10.12422
1989-01-27,5.52826
1989-01-30,4.65839
1989-01-31,1.23609
1989-02-01,1.54799
1989-02-02,4.75896
1989-02-03,4.03727
1989-02-06,0.00000
1989-02-07,1.21951
1989-02-08,3.84377
1989-02-09,2.98137
1989-02-10,4.12698
1989-02-13,5.22959
1989-02-14,7.67754
1989-02-15,5.67823
1989-02-16,10.78811
1989-02-17,10.28939
1989-02-20,13.00390
1989-02-21,10.39795
1989-02-22,10.42345
1989-02-23,15.15152
1989-02-24,16.38225
1989-02-27,19.14460
1989-02-28,21.50917
1989-03-01,25.00000
1989-03-02,24.64286
1989-03-03,26.64286
1989-03-06,27.55396
1989-03-07,27.17391
1989-03-08,25.53648
1989-03-09,22.92818
1989-03-10,18.48118
1989-03-13,26.75070
1989-03-14,30.27972
1989-03-15,32.04152
1989-03-16,31.32363
1989-03-17,29.26993
1989-03-20,24.70741
1989-03-21,30.60546
1989-03-22,27.27273
1989-03-23,27.34824
1989-03-24,.
1989-03-27,.
1989-03-28,26.47436
1989-03-29,23.88535
1989-03-30,27.79553
1989-03-31,.
1989-04-03,.
1989-04-04,28.38710
1989-04-05,28.41352
1989-04-06,22.85898
1989-04-07,24.75884
1989-04-10,20.98765
1989-04-11,21.05583
1989-04-12,19.93958
1989-04-13,19.81982
1989-04-14,16.49852
1989-04-17,13.92550
1989-04-18,18.47507
1989-04-19,28.12872
1989-04-20,30.88235
1989-04-21,25.94752
1989-04-24,23.75949
1989-04-25,23.10827
1989-04-26,20.97701
1989-04-27,22.33412
1989-04-28,21.38554
1989-05-01,.
1989-05-02,19.09204
1989-05-03,16.90402
1989-05-04,21.98142
1989-05-05,17.93313
1989-05-08,13.93939
1989-05-09,16.17827
1989-05-10,14.56311
1989-05-11,17.68293
1989-05-12,16.36364
1989-05-15,15.66265
1989-05-16,19.27711
1989-05-17,13.29268
1989-05-18,14.46154
1989-05-19,11.24620
1989-05-22,7.20887
1989-05-23,8.58896
1989-05-24,12.17553
1989-05-25,12.48455
1989-05-26,8.61538
1989-05-29,9.24214
1989-05-30,11.29630
1989-05-31,11.75750
1989-06-01,10.71647
1989-06-02,10.33435
1989-06-05,14.15385
1989-06-06,13.98644
1989-06-07,11.48649
1989-06-08,9.20245
1989-06-09,13.24921
1989-06-12,10.62460
1989-06-13,5.99369
1989-06-14,7.64331
1989-06-15,9.85094
1989-06-16,7.55814
1989-06-19,12.33333
1989-06-20,12.53333
1989-06-21,13.21877
1989-06-22,13.96574
1989-06-23,19.00990
1989-06-26,22.10315
1989-06-27,22.72421
1989-06-28,23.71134
1989-06-29,28.34979
1989-06-30,31.03943
1989-07-03,30.96085
1989-07-04,33.04721
1989-07-05,29.31034
1989-07-06,18.06452
1989-07-07,18.60465
1989-07-10,21.87286
1989-07-11,25.92857
1989-07-12,25.17730
1989-07-13,24.82270
1989-07-14,25.61404
1989-07-17,20.33333
1989-07-18,20.89752
1989-07-19,15.31008
1989-07-20,15.03519
1989-07-21,12.63424
1989-07-24,9.49367
1989-07-25,10.85826
1989-07-26,6.79612
1989-07-27,3.69427
1989-07-28,4.00000
1989-07-31,4.48718
1989-08-01,5.73290
1989-08-02,7.33333
1989-08-03,13.10345
1989-08-04,8.75421
1989-08-07,3.68217
1989-08-08,5.71429
1989-08-09,8.94040
1989-08-10,11.89689
1989-08-11,13.48465
1989-08-14,13.85135
1989-08-15,14.47811
1989-08-16,15.25424
1989-08-17,14.68200
1989-08-18,13.33333
1989-08-21,12.44178
1989-08-22,15.54054
1989-08-23,15.01684
1989-08-24,16.54135
1989-08-25,16.89655
1989-08-28,17.26519
1989-08-29,18.33910
1989-08-30,18.95833
1989-08-31,21.55477
1989-09-01,23.78571
1989-09-04,27.41228
1989-09-05,30.71161
1989-09-06,35.05311
1989-09-07,33.83459
1989-09-08,34.56604
1989-09-11,41.57480
1989-09-12,33.58209
1989-09-13,29.85612
1989-09-14,32.59259
1989-09-15,35.14739
1989-09-18,40.46693
1989-09-19,36.12167
1989-09-20,36.39847
1989-09-21,35.22727
1989-09-22,32.80303
1989-09-25,33.20611
1989-09-26,38.71224
1989-09-27,37.64706
1989-09-28,43.44000
1989-09-29,52.80805
1989-10-02,60.17241
1989-10-03,60.77253
1989-10-04,67.67857
1989-10-05,63.09735
1989-10-06,62.55507
1989-10-09,49.59016
1989-10-10,50.20243
1989-10-11,51.40562
1989-10-12,53.22709
1989-10-13,48.48485
1989-10-16,43.02583
1989-10-17,51.39535
1989-10-18,45.54307
1989-10-19,43.18519
1989-10-20,42.43323
1989-10-23,54.75410
1989-10-24,55.62914
1989-10-25,56.29139
1989-10-26,49.87835
1989-10-27,48.41270
1989-10-30,50.63492
1989-10-31,55.41872
1989-11-01,55.70850
1989-11-02,53.60000
1989-11-03,49.01961
1989-11-06,48.62745
1989-11-07,50.00000
1989-11-08,48.81890
1989-11-09,44.66616
1989-11-10,46.20107
1989-11-13,45.00000
1989-11-14,43.84615
1989-11-15,46.85039
1989-11-16,54.77178
1989-11-17,55.21523
1989-11-20,54.98763
1989-11-21,39.92509
1989-11-22,39.53488
1989-11-23,41.75655
1989-11-24,25.71429
1989-11-27,25.59403
1989-11-28,27.92982
1989-11-29,26.48084
1989-11-30,23.77763
1989-12-01,26.21622
1989-12-04,30.88934
1989-12-05,33.19444
1989-12-06,31.15646
1989-12-07,28.43854
1989-12-08,28.52349
1989-12-11,27.96053
1989-12-12,28.65613
1989-12-13,28.85993
1989-12-14,26.31579
1989-12-15,26.15385
1989-12-18,30.58824
1989-12-19,32.72251
1989-12-20,31.96347
1989-12-21,32.00000
1989-12-22,33.28999
1989-12-25,.
1989-12-26,.
1989-12-27,29.81366
1989-12-28,31.13208
1989-12-29,29.69809
1990-01-01,.
1990-01-02,29.26829
1990-01-03,37.02359
1990-01-04,35.70567
1990-01-05,37.27003
1990-01-08,25.76471
1990-01-09,25.55224
1990-01-10,29.88166
1990-01-11,29.85163
1990-01-12,27.18391
1990-01-15,23.42857
1990-01-16,18.95388
1990-01-17,13.92758
1990-01-18,14.80663
1990-01-19,17.24518
1990-01-22,22.96820
1990-01-23,18.65103
1990-01-24,14.01130
1990-01-25,15.90525
1990-01-26,20.08149
1990-01-29,23.02671
1990-01-30,26.55678
1990-01-31,25.00000
1990-02-01,21.41593
1990-02-02,23.76119
1990-02-05,25.63636
1990-02-06,24.09639
1990-02-07,20.29851
1990-02-08,20.92883
1990-02-09,20.42683
1990-02-12,19.27273
1990-02-13,19.01367
1990-02-14,17.01493
1990-02-15,16.03499
1990-02-16,15.91837
1990-02-19,14.78711
1990-02-20,14.41860
1990-02-21,15.04425
1990-02-22,13.15789
1990-02-23,10.14663
1990-02-26,7.69231
1990-02-27,11.60766
1990-02-28,11.30435
1990-03-01,10.77364
1990-03-02,8.17823
1990-03-05,8.00902
1990-03-06,9.28775
1990-03-07,7.97721
1990-03-08,5.22472
1990-03-09,5.95576
1990-03-12,1.10497
1990-03-13,-0.53677
1990-03-14,-3.93082
1990-03-15,-2.48021
1990-03-16,-4.66321
1990-03-19,-7.03858
1990-03-20,-9.57718
1990-03-21,-9.28571
1990-03-22,-10.53688
1990-03-23,.
1990-03-26,.
1990-03-27,-8.26153
1990-03-28,-7.30077
1990-03-29,-10.50000
1990-03-30,-12.22494
1990-04-02,-7.48092
1990-04-03,-8.54271
1990-04-04,-9.11392
1990-04-05,-8.01887
1990-04-06,-11.85567
1990-04-09,-15.66327
1990-04-10,-20.15038
1990-04-11,-22.92191
1990-04-12,-20.80201
1990-04-13,.
1990-04-16,.
1990-04-17,-22.27723
1990-04-18,-28.69767
1990-04-19,-27.50562
1990-04-20,-24.30556
1990-04-23,-20.04717
1990-04-24,-20.80378
1990-04-25,-21.61520
1990-04-26,-19.61259
1990-04-27,-18.46154
1990-04-30,.
1990-05-01,-14.20366
1990-05-02,-12.18220
1990-05-03,-19.13706
1990-05-04,-19.69072
1990-05-07,-16.75532
1990-05-08,-14.97635
1990-05-09,-12.87076
1990-05-10,-13.47150
1990-05-11,-12.86458
1990-05-14,-9.37500
1990-05-15,-12.12121
1990-05-16,-7.15823
1990-05-17,-8.33333
1990-05-18,-6.66667
1990-05-21,-4.31034
1990-05-22,-6.89266
1990-05-23,-13.49862
1990-05-24,-13.18681
1990-05-25,-9.63173
1990-05-28,.
1990-05-29,-14.14309
1990-05-30,-12.43836
1990-05-31,-15.37611
1990-06-01,-14.98623
1990-06-04,-17.25067
1990-06-05,-20.10811
1990-06-06,-18.45730
1990-06-07,-15.56180
1990-06-08,-18.21727
1990-06-11,-14.26077
1990-06-12,-11.01190
1990-06-13,-11.83432
1990-06-14,-9.73451
1990-06-15,-9.00901
1990-06-18,-11.98813
1990-06-19,-12.61848
1990-06-20,-13.89375
1990-06-21,-14.73988
1990-06-22,-14.58680
1990-06-25,-14.53648
1990-06-26,-14.39560
1990-06-27,-14.83333
1990-06-28,-15.38462
1990-06-29,-13.94967
1990-07-02,-16.30435
1990-07-03,-16.77419
1990-07-04,-17.44000
1990-07-05,-16.77596
1990-07-06,-14.00560
1990-07-09,-15.98430
1990-07-10,-11.62791
1990-07-11,-11.04816
1990-07-12,-9.77273
1990-07-13,-4.86034
1990-07-16,-1.93906
1990-07-17,-2.60388
1990-07-18,-0.84034
1990-07-19,-0.72303
1990-07-20,0.95345
1990-07-23,8.26590
1990-07-24,11.90616
1990-07-25,15.15152
1990-07-26,15.04914
1990-07-27,16.17827
1990-07-30,16.44172
1990-07-31,18.48429
1990-08-01,23.78882
1990-08-02,35.67073
1990-08-03,49.41176
1990-08-06,69.96885
1990-08-07,67.99754
1990-08-08,52.88754
1990-08-09,52.98287
1990-08-10,54.70588
1990-08-13,58.04154
1990-08-14,59.41176
1990-08-15,56.05882
1990-08-16,60.47198
1990-08-17,69.04337
1990-08-20,71.00592
1990-08-21,69.88304
1990-08-22,78.27869
1990-08-23,89.73607
1990-08-24,86.72566
1990-08-27,62.83863
1990-08-28,61.69591
1990-08-29,61.41273
1990-08-30,59.88372
1990-08-31,60.41546
1990-09-03,75.15777
1990-09-04,72.37822
1990-09-05,75.44944
1990-09-06,80.61798
1990-09-07,76.38811
1990-09-10,74.91657
1990-09-11,79.32961
1990-09-12,73.29640
1990-09-13,78.10056
1990-09-14,86.52125
1990-09-17,93.35180
1990-09-18,100.83799
1990-09-19,97.07865
1990-09-20,99.71989
1990-09-21,110.78152
1990-09-24,133.52436
1990-09-25,128.65330
1990-09-26,132.76353
1990-09-27,131.17680
1990-09-28,124.90400
1990-10-01,109.63402
1990-10-02,89.26855
1990-10-03,99.94675
1990-10-04,101.84482
1990-10-05,111.65312
1990-10-08,114.79452
1990-10-09,120.48518
1990-10-10,113.26260
1990-10-11,113.98856
1990-10-12,103.57143
1990-10-15,97.52322
1990-10-16,99.33436
1990-10-17,81.83222
1990-10-18,84.42835
1990-10-19,72.91667
1990-10-22,45.39195
1990-10-23,53.98936
1990-10-24,59.42797
1990-10-25,78.03030
1990-10-26,80.37433
1990-10-29,82.56059
1990-10-30,87.53302
1990-10-31,78.36713
1990-11-01,85.67708
1990-11-02,84.47368
1990-11-05,78.36412
1990-11-06,75.66138
1990-11-07,82.80423
1990-11-08,84.88064
1990-11-09,79.79003
1990-11-12,74.27056
1990-11-13,79.94652
1990-11-14,71.31367
1990-11-15,72.65416
1990-11-16,62.93333
1990-11-19,64.09574
1990-11-20,61.13490
1990-11-21,64.78495
1990-11-22,70.65217
1990-11-23,73.43074
1990-11-26,89.72973
1990-11-27,91.05869
1990-11-28,87.87879
