DATE,DCOILBRENTEU_PCH
1987-05-22,0.54201
1987-05-25,0.26954
1987-05-26,0.16129
1987-05-27,-0.16103
1987-05-28,0.00000
1987-05-29,-0.10753
1987-06-01,0.37675
1987-06-02,0.16086
1987-06-03,0.37473
1987-06-04,0.16000
1987-06-05,-0.69223
1987-06-08,0.53619
1987-06-09,0.16000
1987-06-10,0.00000
1987-06-11,-0.53248
1987-06-12,0.53533
1987-06-15,.
1987-06-16,.
1987-06-17,0.68783
1987-06-18,0.10510
1987-06-19,0.00000
1987-06-22,0.26247
1987-06-23,-1.04712
1987-06-24,-0.79365
1987-06-25,-0.26667
1987-06-26,2.03209
1987-06-29,0.36688
1987-06-30,-0.36554
1987-07-01,-0.52411
1987-07-02,1.42255
1987-07-03,0.41558
1987-07-06,0.77600
1987-07-07,0.10267
1987-07-08,-0.10256
1987-07-09,1.02669
1987-07-10,0.25407
1987-07-13,0.50684
1987-07-14,0.25214
1987-07-15,2.01207
1987-07-16,0.59172
1987-07-17,1.12745
1987-07-20,-0.38778
1987-07-21,-0.97324
1987-07-22,-0.09828
1987-07-23,-0.88539
1987-07-24,-2.82878
1987-07-27,-1.43003
1987-07-28,2.48705
1987-07-29,1.01112
1987-07-30,1.10110
1987-07-31,-0.84158
1987-08-03,4.59311
1987-08-04,-1.43198
1987-08-05,-4.11622
1987-08-06,-0.25253
1987-08-07,-0.50633
1987-08-10,-1.11959
1987-08-11,0.10293
1987-08-12,0.25707
1987-08-13,-0.51282
1987-08-14,-0.77320
1987-08-17,-2.07792
1987-08-18,-0.53050
1987-08-19,-1.33333
1987-08-20,-1.08108
1987-08-21,-1.09290
1987-08-24,-3.42541
1987-08-25,0.40046
1987-08-26,3.13390
1987-08-27,0.99448
1987-08-28,-0.43764
1987-08-31,2.36264
1987-09-01,-1.07354
1987-09-02,-0.16278
1987-09-03,-1.19565
1987-09-04,-0.27503
1987-09-07,-2.92333
1987-09-08,0.45455
1987-09-09,1.24434
1987-09-10,2.23464
1987-09-11,-0.65574
1987-09-14,-0.16502
1987-09-15,2.09366
1987-09-16,0.00000
1987-09-17,-0.53967
1987-09-18,-0.70537
1987-09-21,-0.10929
1987-09-22,1.09409
1987-09-23,0.00000
1987-09-24,1.08225
1987-09-25,-0.42827
1987-09-28,0.26882
1987-09-29,-0.80429
1987-09-30,-0.10811
1987-10-01,0.10823
1987-10-02,0.81081
1987-10-05,0.69705
1987-10-06,-0.95847
1987-10-07,-0.10753
1987-10-08,0.26911
1987-10-09,-0.16103
1987-10-12,-0.26882
1987-10-13,0.00000
1987-10-14,0.70081
1987-10-15,0.00000
1987-10-16,1.71306
1987-10-19,0.52632
1987-10-20,-1.67539
1987-10-21,0.79872
1987-10-22,1.05652
1987-10-23,-0.78411
1987-10-26,-1.21180
1987-10-27,0.26667
1987-10-28,0.26596
1987-10-29,-0.53050
1987-10-30,0.26667
1987-11-02,-0.90426
1987-11-03,-1.34192
1987-11-04,-2.44831
1987-11-05,-0.44618
1987-11-06,0.56022
1987-11-09,-2.50696
1987-11-10,1.42857
1987-11-11,0.28169
1987-11-12,0.28090
1987-11-13,-0.28011
1987-11-16,-0.67416
1987-11-17,-1.58371
1987-11-18,-1.26437
1987-11-19,1.74622
1987-11-20,0.68650
1987-11-23,1.70455
1987-11-24,-0.39106
1987-11-25,-0.84128
1987-11-26,0.28281
1987-11-27,0.28201
1987-11-30,-0.44994
1987-12-01,-0.28249
1987-12-02,0.28329
1987-12-03,1.29944
1987-12-04,0.39041
1987-12-07,-1.22222
1987-12-08,-1.12486
1987-12-09,-0.85324
1987-12-10,0.68847
1987-12-11,1.02564
1987-12-14,-5.24535
1987-12-15,-3.57143
1987-12-16,-1.66667
1987-12-17,-5.64972
1987-12-18,3.79242
1987-12-21,-1.28205
1987-12-22,8.44156
1987-12-23,3.29341
1987-12-24,-0.86957
1987-12-25,.
1987-12-28,.
1987-12-29,2.23529
1987-12-30,2.70426
1987-12-31,-1.40056
1988-01-01,.
1988-01-04,.
1988-01-05,-4.84680
1988-01-06,4.80094
1988-01-07,.
1988-01-08,.
1988-01-11,-1.36256
1988-01-12,-4.20420
1988-01-13,2.69592
1988-01-14,1.03785
1988-01-15,0.60423
1988-01-18,1.08108
1988-01-19,1.60428
1988-01-20,-1.57895
1988-01-21,1.48544
1988-01-22,-2.22482
1988-01-25,-1.49701
1988-01-26,.
1988-01-27,.
1988-01-28,-0.18599
1988-01-29,1.11801
1988-02-01,-1.10565
1988-02-02,0.49689
1988-02-03,-0.18541
1988-02-04,0.18576
1988-02-05,-0.49444
1988-02-08,2.48447
1988-02-09,-0.60606
1988-02-10,-1.64634
1988-02-11,-0.18599
1988-02-12,-2.17391
1988-02-15,-0.44444
1988-02-16,-0.31888
1988-02-17,1.40755
1988-02-18,-2.33438
1988-02-19,0.45220
1988-02-22,-1.09325
1988-02-23,1.30039
1988-02-24,-1.47625
1988-02-25,-3.25733
1988-02-26,-1.34680
1988-02-29,0.54608
1988-03-01,-3.73388
1988-03-02,-2.67983
1988-03-03,1.44928
1988-03-04,0.00000
1988-03-07,-0.71429
1988-03-08,-0.71942
1988-03-09,1.30435
1988-03-10,3.57654
1988-03-11,2.76243
1988-03-14,-4.03226
1988-03-15,0.14006
1988-03-16,1.04895
1988-03-17,-0.13841
1988-03-18,3.46500
1988-03-21,3.01407
1988-03-22,-2.27568
1988-03-23,2.46174
1988-03-24,1.62338
1988-03-25,-1.27796
1988-03-28,0.64725
1988-03-29,0.32154
1988-03-30,0.64103
1988-03-31,-0.31847
1988-04-01,.
1988-04-04,.
1988-04-05,.
1988-04-06,-0.77419
1988-04-07,0.97529
1988-04-08,0.12878
1988-04-11,4.18006
1988-04-12,1.72840
1988-04-13,0.42476
1988-04-14,0.60423
1988-04-15,1.20120
1988-04-18,3.56083
1988-04-19,-2.29226
1988-04-20,-1.58358
1988-04-21,1.31108
1988-04-22,0.88235
1988-04-25,-0.11662
1988-04-26,0.29189
1988-04-27,1.28056
1988-04-28,-2.98851
1988-04-29,-1.65877
1988-05-02,-3.91566
1988-05-03,0.81505
1988-05-04,0.43532
1988-05-05,0.00000
1988-05-06,1.85759
1988-05-09,0.30395
1988-05-10,-0.72727
1988-05-11,0.61050
1988-05-12,-0.48544
1988-05-13,0.60976
1988-05-16,0.60606
1988-05-17,0.00000
1988-05-18,-1.20482
1988-05-19,-0.91463
1988-05-20,1.23077
1988-05-23,-1.33739
1988-05-24,0.43130
1988-05-25,-0.73620
1988-05-26,0.00000
1988-05-27,0.43263
1988-05-30,-0.12308
1988-05-31,-0.18484
1988-06-01,0.80247
1988-06-02,0.00000
1988-06-03,0.73484
1988-06-06,-1.21581
1988-06-07,-0.12308
1988-06-08,0.30807
1988-06-09,0.12285
1988-06-10,-2.76074
1988-06-13,-2.01893
1988-06-14,2.06053
1988-06-15,-0.94637
1988-06-16,-1.71975
1988-06-17,0.32404
1988-06-20,-3.10078
1988-06-21,0.00000
1988-06-22,0.86667
1988-06-23,0.33047
1988-06-24,-0.19763
1988-06-27,-1.45215
1988-06-28,-0.66979
1988-06-29,-1.88806
1988-06-30,-2.54296
1988-07-01,-1.62200
1988-07-04,0.71685
1988-07-05,-0.49822
1988-07-06,3.71960
1988-07-07,6.89655
1988-07-08,-2.90323
1988-07-11,-2.79070
1988-07-12,-4.30622
1988-07-13,0.71429
1988-07-14,0.00000
1988-07-15,1.06383
1988-07-18,5.26316
1988-07-19,-0.46667
1988-07-20,3.68386
1988-07-21,0.96899
1988-07-22,1.27959
1988-07-25,-0.18951
1988-07-26,-2.65823
1988-07-27,0.45514
1988-07-28,1.61812
1988-07-29,0.31847
1988-08-01,-0.95238
1988-08-02,-1.60256
1988-08-03,-2.28013
1988-08-04,-3.33333
1988-08-05,2.41379
1988-08-08,4.24242
1988-08-09,-0.51680
