DATE,DCOILBRENTEU_NBD19870520
1987-05-22,99.57059
1987-05-25,99.83897
1987-05-26,100.00000
1987-05-27,99.83897
1987-05-28,99.83897
1987-05-29,99.73162
1987-06-01,100.10735
1987-06-02,100.26838
1987-06-03,100.64412
1987-06-04,100.80515
1987-06-05,100.10735
1987-06-08,100.64412
1987-06-09,100.80515
1987-06-10,100.80515
1987-06-11,100.26838
1987-06-12,100.80515
1987-06-15,.
1987-06-16,101.44928
1987-06-17,102.14707
1987-06-18,102.25443
1987-06-19,102.25443
1987-06-22,102.52281
1987-06-23,101.44928
1987-06-24,100.64412
1987-06-25,100.37574
1987-06-26,102.41546
1987-06-29,102.79120
1987-06-30,102.41546
1987-07-01,101.87869
1987-07-02,103.32797
1987-07-03,103.75738
1987-07-06,104.56253
1987-07-07,104.66989
1987-07-08,104.56253
1987-07-09,105.63607
1987-07-10,105.90446
1987-07-13,106.44122
1987-07-14,106.70961
1987-07-15,108.85668
1987-07-16,109.50081
1987-07-17,110.73537
1987-07-20,110.30596
1987-07-21,109.23242
1987-07-22,109.12507
1987-07-23,108.15888
1987-07-24,105.09930
1987-07-27,103.59635
1987-07-28,106.17284
1987-07-29,107.24638
1987-07-30,108.42727
1987-07-31,107.51476
1987-08-03,112.45303
1987-08-04,110.84273
1987-08-05,106.28019
1987-08-06,106.01181
1987-08-07,105.47504
1987-08-10,104.29415
1987-08-11,104.40150
1987-08-12,104.66989
1987-08-13,104.13312
1987-08-14,103.32797
1987-08-17,101.18089
1987-08-18,100.64412
1987-08-19,99.30220
1987-08-20,98.22866
1987-08-21,97.15513
1987-08-24,93.82716
1987-08-25,94.20290
1987-08-26,97.15513
1987-08-27,98.12131
1987-08-28,97.69189
1987-08-31,100.00000
1987-09-01,98.92646
1987-09-02,98.76543
1987-09-03,97.58454
1987-09-04,97.31616
1987-09-07,94.47128
1987-09-08,94.90070
1987-09-09,96.08159
1987-09-10,98.22866
1987-09-11,97.58454
1987-09-14,97.42351
1987-09-15,99.46323
1987-09-16,99.46323
1987-09-17,98.92646
1987-09-18,98.22866
1987-09-21,98.12131
1987-09-22,99.19485
1987-09-23,99.19485
1987-09-24,100.26838
1987-09-25,99.83897
1987-09-28,100.10735
1987-09-29,99.30220
1987-09-30,99.19485
1987-10-01,99.30220
1987-10-02,100.10735
1987-10-05,100.80515
1987-10-06,99.83897
1987-10-07,99.73162
1987-10-08,100.00000
1987-10-09,99.83897
1987-10-12,99.57059
1987-10-13,99.57059
1987-10-14,100.26838
1987-10-15,100.26838
1987-10-16,101.98604
1987-10-19,102.52281
